carat,cut,color,clarity,depth,table,x,y,z,price
1.26,Premium,E,VS1,60.7,58,7.02,7.04,4.27,10367
1.51,Premium,G,VS2,59.2,61,7.48,7.44,4.42,12229
1.53,Premium,E,SI1,61.3,59,7.35,7.4,4.52,12851
2.38,Premium,G,SI2,62.4,58,8.59,8.47,5.32,14648
1,Fair,F,SI1,66.7,57,6.07,5.99,4.02,3669
0.71,Ideal,I,IF,61.5,56,5.74,5.77,3.54,2925
1.19,Ideal,I,SI1,62.3,57,6.78,6.73,4.21,4998
0.91,Ideal,G,SI1,62.6,57,6.16,6.21,3.87,3884
1.02,Premium,G,VS2,62.9,58,6.41,6.37,4.02,5593
1.01,Very Good,E,VS2,63.3,60,6.33,6.3,4,6516
1.16,Ideal,G,VS2,61.7,57,6.8,6.72,4.17,7243
1.5,Very Good,E,SI2,62.7,59,7.22,7.3,4.55,8167
1.01,Ideal,H,VS1,62.6,57,6.4,6.37,4,5882
2.02,Ideal,H,SI2,63,57,8.01,8.06,5.06,15974
1.15,Ideal,E,SI1,62.7,56,6.73,6.7,4.21,5526
0.9,Premium,I,SI1,63,58,6.09,6.01,3.81,2861
0.71,Ideal,D,VS2,61.4,57,5.73,5.77,3.53,3222
1.01,Fair,F,SI1,66.8,60,6.21,6.13,4.12,3991
1.01,Very Good,D,SI1,62.6,56,6.36,6.39,3.99,5731
1.04,Ideal,G,VS2,62.8,56,6.48,6.42,4.05,6542
1.01,Ideal,E,SI1,62.9,56,6.41,6.38,4.02,5375
0.71,Very Good,D,VS2,62.8,56,5.67,5.7,3.57,3045
1.07,Ideal,E,VVS2,61.3,56,6.53,6.6,4.02,10222
0.66,Very Good,H,VVS1,61.9,59,5.59,5.65,3.48,2323
0.71,Ideal,E,VS2,62.1,55,5.72,5.75,3.56,3304
0.6,Premium,E,SI1,59.6,59,5.52,5.48,3.28,2016
1.34,Ideal,H,VS2,60.2,56,7.23,7.18,4.34,7429
1.01,Good,E,VS2,61.2,62,6.34,6.38,3.89,5972
0.71,Ideal,I,VVS1,62.4,57,5.67,5.71,3.55,2530
0.7,Premium,H,VS1,61.8,62,5.69,5.63,3.5,2375
1.7,Very Good,I,VS1,60.6,59,7.64,7.67,4.64,11514
1.5,Very Good,H,VS2,60.9,59,7.37,7.43,4.51,10023
0.64,Ideal,G,VS1,62.3,54,5.54,5.56,3.46,2155
1.04,Very Good,D,VS1,62.3,59,6.39,6.48,4.01,8192
1.01,Good,E,SI1,62.6,61,6.38,6.43,4.01,4743
0.71,Very Good,J,VS1,63.3,57,5.59,5.69,3.57,2062
0.9,Good,F,SI2,61.9,62,6.07,6.12,3.77,3267
1.01,Good,F,VS2,63.6,59,6.32,6.36,4.03,5988
0.78,Ideal,G,SI2,61.7,54,5.93,5.97,3.67,2485
0.73,Premium,F,SI1,58.7,59,5.97,5.92,3.49,2644
1.09,Premium,H,SI2,61.2,62,6.63,6.58,4.04,4395
1.02,Premium,E,SI1,61.5,58,6.51,6.46,3.99,5278
0.7,Premium,E,SI1,61.3,58,5.71,5.68,3.49,2777
0.81,Very Good,E,SI1,60.3,60,6.07,6.1,3.67,2797
1.12,Premium,J,SI2,60.6,59,6.68,6.61,4.03,2898
0.71,Ideal,D,SI2,61.1,57,5.77,5.79,3.53,2612
2.01,Ideal,J,SI1,62.8,58,8.02,7.97,5.02,9725
0.7,Premium,I,VVS1,61.2,59,5.69,5.65,3.47,2536
0.93,Premium,J,VS1,60.3,58,6.37,6.31,3.82,3062
0.9,Good,J,SI1,63.2,60,6.09,6.12,3.86,2729
1.29,Very Good,D,VVS1,60.8,55,7.03,7.12,4.3,17932
0.7,Ideal,E,SI1,61.1,56,5.76,5.79,3.53,2728
0.51,Ideal,G,VVS1,61.4,55,5.15,5.18,3.17,2027
0.76,Ideal,H,VS2,62.7,57,5.86,5.82,3.66,2692
1.03,Ideal,G,SI1,60.9,57,6.54,6.5,3.97,4900
1.05,Ideal,G,SI2,59.6,57,6.58,6.53,3.91,3299
0.72,Premium,F,SI1,61.6,60,5.79,5.73,3.55,2314
1.35,Very Good,H,VVS2,63.1,56,6.95,7.03,4.41,8644
1.01,Premium,I,SI1,61.9,58,6.48,6.42,3.99,4355
1.64,Ideal,H,VS2,60.6,57,7.71,7.67,4.66,12561
1.03,Very Good,F,SI2,62,58,6.43,6.51,4.01,4414
0.61,Premium,G,VS1,62.7,57,5.43,5.36,3.38,2192
1.09,Very Good,F,IF,61.1,58,6.63,6.69,4.07,10663
1.1,Premium,G,SI2,61.4,59,6.71,6.59,4.08,4650
1.61,Very Good,G,SI2,63.4,55,7.47,7.35,4.7,6915
1.59,Premium,E,VS2,62.3,59,7.43,7.38,4.61,15249
1.01,Fair,F,SI2,67.3,62,6.09,6.03,4.08,3597
0.8,Very Good,G,VS1,63.5,57,5.87,5.91,3.74,3381
1.09,Ideal,E,SI2,61.9,55,6.6,6.64,4.1,5035
1,Good,G,VVS2,60.9,56,6.49,6.52,3.96,7492
1.01,Premium,H,SI2,59.4,59,6.56,6.53,3.89,4072
0.81,Very Good,I,VS2,60.4,63,5.97,5.95,3.6,2616
1.05,Ideal,G,SI1,59.7,56,6.67,6.64,3.97,5204
1.31,Premium,I,VS2,60.4,59,7.16,7.05,4.29,5832
1.51,Premium,E,SI1,63,58,7.4,7.27,4.62,8836
0.9,Very Good,G,VS1,62.7,56,6.1,6.14,3.84,4780
1.58,Ideal,H,SI1,61.4,56,7.46,7.53,4.6,10546
0.51,Ideal,F,VVS2,61.2,56,5.19,5.17,3.17,2203
1.59,Ideal,I,SI1,62.1,57,7.48,7.46,4.64,8835
1.51,Good,H,VS2,63.5,60,7.24,7.27,4.61,10628
0.71,Premium,D,VS2,61.2,59,5.69,5.74,3.5,2874
0.72,Premium,E,SI2,61.7,58,5.79,5.74,3.56,2125
0.84,Fair,G,VS1,55.6,64,6.42,6.32,3.54,2724
2.33,Ideal,I,VS2,62.4,57,8.52,8.47,5.31,15073
1.02,Very Good,F,SI2,60.9,58,6.43,6.55,3.95,4284
0.7,Good,D,SI1,62.6,60,5.57,5.61,3.5,2681
0.82,Ideal,E,SI2,62.1,55,6.04,6.01,3.74,2668
0.71,Very Good,F,SI1,62.1,59,5.64,5.73,3.53,2346
0.7,Premium,G,SI1,62,61,5.71,5.68,3.53,2352
1.07,Ideal,H,SI1,60.9,57,6.68,6.61,4.05,5123
0.7,Very Good,H,SI1,61.5,57,5.64,5.68,3.48,2107
0.78,Ideal,J,VS2,62.3,55,5.88,5.91,3.67,2456
0.7,Very Good,F,VS1,62.8,59,5.65,5.69,3.56,3053
1.02,Very Good,I,VS2,62.1,59,6.37,6.44,3.98,5013
1.01,Premium,G,IF,63,60,6.35,6.31,3.99,8120
0.72,Ideal,H,VS2,61.2,57,5.79,5.77,3.54,3018
1.23,Very Good,H,VS2,58.5,62,6.98,7,4.09,6039
2.02,Very Good,H,VS2,61.5,59,8.08,8.21,5.01,17887
0.71,Very Good,D,VS1,63.2,57,5.63,5.67,3.57,3406
0.7,Premium,D,SI2,60.5,58,5.8,5.74,3.49,2354
1.21,Premium,J,VS2,62.4,58,6.83,6.79,4.25,4268
0.76,Ideal,H,SI1,61.8,56,5.88,5.84,3.62,2587
1,Good,H,VS2,63.6,61,6.25,6.21,3.96,4722
1.13,Ideal,E,VS2,62,54,6.7,6.66,4.14,8404
1.5,Very Good,D,SI1,63.5,57,7.23,7.28,4.61,11352
1.12,Premium,E,SI2,61.1,58,6.73,6.69,4.1,5620
1.61,Ideal,E,SI2,61.6,56,7.54,7.62,4.67,9961
0.9,Good,D,SI1,62.4,63,6.04,6.13,3.8,3880
1.33,Premium,G,SI2,61.3,59,7.06,6.93,4.29,4634
0.81,Very Good,H,SI2,62.1,56,5.95,5.99,3.71,2504
1.01,Premium,H,I1,60.1,58,6.49,6.44,3.89,2520
1.01,Premium,G,VVS2,61.7,59,6.44,6.37,3.95,7466
1.7,Very Good,E,SI2,63.3,57,7.59,7.51,4.78,12030
0.9,Very Good,D,SI1,60.6,59,6.23,6.28,3.79,5040
1.6,Premium,G,VS2,62.2,59,7.45,7.48,4.64,11489
0.9,Very Good,H,VVS2,60.3,61,6.22,6.25,3.76,4432
0.72,Ideal,H,SI2,61.3,56,5.77,5.75,3.53,2393
2.01,Ideal,I,SI1,62.3,57,8.04,8.08,5.02,15680
1.67,Ideal,G,VS1,61.5,55,7.62,7.67,4.7,16643
0.71,Premium,D,VS2,62.7,58,5.53,5.67,3.54,2659
0.57,Ideal,F,VS1,61.7,55,5.35,5.39,3.31,2039
1.01,Premium,G,SI2,60.1,59,6.55,6.46,3.91,4327
0.83,Ideal,D,SI1,61.5,53,6.09,6.07,3.74,3933
0.91,Good,E,SI1,63.5,57,6.07,6.11,3.87,4211
0.7,Very Good,E,SI1,63.4,56,5.7,5.6,3.58,2318
2.51,Premium,J,SI1,59.6,60,8.84,8.79,5.25,17452
0.9,Ideal,G,VS1,61.4,57,6.18,6.32,3.84,4479
1.51,Premium,G,SI1,61.6,59,7.32,7.3,4.5,10739
1.22,Ideal,H,VS2,60.4,57,6.95,6.98,4.21,7506
0.71,Ideal,H,SI2,62.2,55,5.72,5.7,3.55,2360
0.76,Ideal,F,SI1,61.7,55,5.87,5.9,3.63,2682
0.9,Ideal,F,SI1,61.7,55,6.19,6.16,3.81,4269
1.11,Ideal,G,VS2,61.4,56,6.65,6.7,4.1,7443
1.24,Ideal,G,VS1,61.8,55,6.85,6.89,4.25,10946
1,Premium,G,SI2,60.2,58,6.55,6.48,3.92,3584
0.9,Very Good,E,VS2,62.2,59,6.13,6.18,3.83,4580
1.05,Very Good,H,VS2,63.3,56,6.48,6.41,4.08,5614
1.01,Very Good,G,VS2,61.9,59,6.34,6.38,3.94,5759
0.71,Very Good,E,SI1,59.7,58,5.76,5.8,3.45,2574
0.8,Very Good,E,VS2,61.6,57,5.95,5.97,3.67,4263
0.7,Premium,E,VS2,62.4,61,5.66,5.63,3.52,2818
1.12,Ideal,F,SI2,61.9,55,6.68,6.72,4.15,5046
0.9,Very Good,F,SI1,63.3,55,6.05,6.08,3.84,4004
0.75,Premium,F,SI1,61.5,58,5.83,5.87,3.6,2683
1.06,Ideal,E,SI1,61.8,56,6.59,6.52,4.05,6114
1,Premium,E,SI2,61,59,6.4,6.33,3.88,3450
0.76,Ideal,G,SI2,62.3,55,5.83,5.89,3.65,2489
0.7,Very Good,F,VVS2,61.3,59,5.69,5.73,3.5,3974
0.7,Premium,F,SI1,62.4,56,5.69,5.63,3.53,2596
0.65,Ideal,D,VS2,61.6,57,5.55,5.59,3.43,2402
2.11,Premium,J,VS2,59.9,60,8.36,8.41,5.02,13046
1.31,Premium,H,SI2,60,57,7.1,7.07,4.25,6089
1.51,Fair,I,VS2,58.8,62,7.57,7.51,4.43,9116
1.05,Ideal,F,VS2,62.7,56,6.52,6.59,4.11,6403
0.71,Premium,D,VS2,62.4,59,5.73,5.68,3.56,3161
1,Very Good,G,VVS2,63,56,6.37,6.4,4.02,7177
1.22,Ideal,F,VS1,62.2,57,6.85,6.81,4.25,9633
1.18,Very Good,E,VVS2,61.5,58,6.78,6.87,4.2,12100
1.52,Ideal,D,SI2,62.7,56,7.35,7.28,4.59,8631
1.08,Premium,H,SI1,62.6,58,6.56,6.53,4.1,5171
1.09,Ideal,I,SI1,59.4,61,6.68,6.73,3.98,4692
0.79,Ideal,D,SI1,61.5,56,5.91,5.96,3.65,2896
0.95,Premium,G,SI1,58,62,6.47,6.42,3.74,4426
1.01,Premium,D,SI1,62.3,60,6.4,6.35,3.97,5939
1.12,Premium,H,SI1,62.4,56,6.74,6.63,4.17,4994
1.1,Very Good,G,VS2,61.9,56.7,6.57,6.63,4.09,7405
0.54,Ideal,G,VVS1,62.2,56,5.22,5.2,3.24,2236
1.11,Premium,H,VS2,62,59,6.66,6.59,4.11,5395
2.02,Premium,G,SI2,60.1,59,8.29,8.21,4.96,17099
1.52,Ideal,D,SI1,61.2,57,7.47,7.4,4.55,13329
2,Very Good,H,SI1,63.3,59,8.03,7.96,5.06,17760
0.57,Ideal,F,VS2,60.7,56,5.37,5.41,3.27,2096
0.9,Fair,I,VS1,68.7,62,5.83,5.79,3.99,2732
1.65,Ideal,G,VS2,60.8,56,7.65,7.7,4.67,14456
0.72,Very Good,G,SI2,63.4,57,5.67,5.71,3.61,2001
0.71,Premium,E,SI2,59,60,5.9,5.87,3.47,2410
0.72,Very Good,I,VS1,64,56,5.65,5.73,3.65,2048
1.19,Very Good,F,SI1,60.8,59,6.85,6.89,4.18,6526
1.03,Ideal,F,SI1,62,56,6.47,6.5,4.02,5974
0.62,Ideal,E,SI1,60.7,56,5.54,5.57,3.37,2156
1.66,Very Good,I,SI1,63,57,7.45,7.5,4.71,8901
2.1,Ideal,F,SI2,61,60,8.22,8.2,5.01,18124
1.16,Very Good,H,VS2,63,57,6.64,6.66,4.19,5537
0.73,Very Good,J,VS2,62.7,57,5.71,5.74,3.59,2101
0.81,Very Good,G,SI2,63.2,60,5.82,5.79,3.67,2095
1.19,Premium,H,VS2,61,59,6.91,6.8,4.18,6363
1.24,Ideal,H,SI1,61.3,57,6.95,6.89,4.24,6254
1,Good,E,VS2,63.1,56,6.37,6.41,4.03,6776
1.41,Very Good,G,VVS1,61.2,55,7.22,7.25,4.43,14936
1.51,Fair,J,SI2,65.1,59,7.13,7.09,4.63,5801
0.76,Very Good,F,VVS1,62.1,57,5.8,5.83,3.61,4504
1.25,Ideal,H,VVS2,60.6,57,7,6.97,4.23,8036
0.77,Ideal,G,VS2,62.1,56,5.85,5.88,3.64,3114
0.78,Ideal,F,SI1,61.3,56,5.92,6,3.64,3362
0.6,Ideal,D,VS2,61.4,53,5.45,5.5,3.36,2473
1.29,Ideal,I,SI2,61.9,57,6.99,7.04,4.34,6097
0.9,Good,H,VS1,64,59,6.05,6.01,3.86,3669
0.9,Very Good,D,SI1,62.5,59,6.11,6.15,3.83,4579
1.13,Premium,G,IF,61.2,59,6.78,6.71,4.13,9698
1.52,Premium,H,SI1,60.1,60,7.47,7.45,4.48,10330
1.7,Very Good,I,VS2,58.5,59,7.81,7.89,4.59,11190
0.7,Very Good,G,VS2,59.3,60,5.77,5.83,3.43,2539
1.51,Good,D,SI1,64.9,60,7.14,7.2,4.65,11087
0.71,Very Good,G,SI2,63.4,56,5.68,5.62,3.58,2086
1.2,Premium,J,VS2,61.8,59,6.84,6.76,4.2,4611
1.57,Ideal,J,SI1,62.4,57,7.51,7.4,4.65,8221
1.29,Ideal,I,SI1,61.9,56,6.97,7.03,4.33,6372
0.83,Good,H,SI2,63.9,56,5.93,5.99,3.81,2316
1.02,Very Good,H,SI1,61.2,57,6.47,6.53,3.98,4875
0.7,Premium,E,SI2,62.9,59,5.67,5.59,3.54,2307
2.02,Very Good,I,SI1,59.8,59,8.21,8.3,4.94,16192
1.27,Ideal,G,SI2,61.8,56,6.96,6.93,4.29,6045
0.81,Premium,F,SI1,61.9,58,5.99,5.96,3.7,3004
1.1,Ideal,F,VS2,62.2,57,6.62,6.59,4.11,7658
2.03,Premium,J,SI2,60.9,60,8.21,8.1,4.97,12078
0.9,Fair,G,VS2,65.8,61,5.99,5.96,3.93,4309
0.74,Good,H,VS2,57.5,57,5.94,6.01,3.44,2369
1.01,Very Good,D,SI2,62.8,59,6.34,6.44,4.01,4588
2.18,Premium,G,SI2,61.9,60,8.24,8.29,5.12,17841
1.21,Premium,H,SI1,62.8,59,6.72,6.68,4.21,5793
1.15,Premium,H,SI2,61.6,60,6.72,6.75,4.15,4743
0.7,Fair,D,SI1,66,56,5.45,5.52,3.62,2093
0.71,Very Good,H,VS1,62.1,55,5.71,5.72,3.55,2569
1.27,Very Good,I,VS2,63.3,63,6.87,6.82,4.33,6031
1.51,Very Good,G,VS1,60.2,63,7.39,7.36,4.44,12430
0.74,Ideal,H,VVS1,61.1,56,5.84,5.91,3.59,3804
1.21,Premium,E,SI2,61.9,60,6.78,6.73,4.18,6071
1.21,Very Good,D,SI2,62.3,59,6.74,6.78,4.21,6125
2.01,Very Good,F,SI2,61.6,56,8.17,8.13,5.02,15188
1.33,Ideal,H,SI2,62.3,55,7.01,7.08,4.39,6791
0.77,Very Good,J,VS2,62.9,58,5.83,5.87,3.68,2155
0.71,Ideal,G,SI2,61.8,56,5.7,5.72,3.53,2031
1,Premium,H,VS2,59.4,61,6.51,6.46,3.85,5572
0.62,Ideal,E,VVS2,62,56,5.48,5.52,3.41,2904
1.01,Premium,E,SI1,59.6,59,6.53,6.46,3.87,4853
0.73,Ideal,G,SI2,61.8,56,5.76,5.8,3.57,2210
0.7,Good,I,VS1,63.2,55,5.58,5.63,3.54,2274
1.11,Very Good,H,SI1,61.9,58,6.63,6.65,4.11,5780
0.5,Ideal,F,VVS2,61.6,56,5.11,5.08,3.14,2160
1.22,Ideal,F,VS2,61.3,56,6.87,6.92,4.23,9203
0.9,Good,I,SI2,60.7,58,6.17,6.21,3.76,3057
1.52,Premium,J,VS2,62,59,7.28,7.31,4.52,7758
1.01,Premium,E,VS1,62.9,60,6.36,6.32,3.99,7839
0.73,Very Good,E,SI1,63.2,58,5.76,5.7,3.62,2821
1.53,Premium,H,VS2,62.7,56,7.39,7.31,4.61,11104
0.79,Ideal,I,VS2,60.9,56,5.97,5.99,3.64,3710
0.74,Ideal,G,VS1,61.5,56,5.79,5.82,3.57,3572
1.62,Ideal,E,VS2,61.4,57,7.58,7.54,4.64,16507
1.12,Ideal,G,SI1,62,55,6.65,6.68,4.13,5451
0.73,Premium,F,SI2,61.6,58,5.79,5.73,3.55,2309
1.7,Premium,F,SI2,58.5,60,7.87,7.8,4.58,9330
1.52,Premium,H,SI1,62,60,7.36,7.28,4.54,7559
1.16,Ideal,I,SI2,62.8,57,6.8,6.64,4.22,3605
0.71,Ideal,F,VS1,61.5,57,5.71,5.77,3.53,3710
1.37,Ideal,G,IF,62.3,54,7.11,7.15,4.43,13439
1.06,Premium,G,SI1,61.9,55,6.61,6.54,4.07,5043
0.98,Very Good,H,SI2,63.4,57,6.41,6.32,4.04,3091
1.09,Ideal,H,SI2,62,57,6.61,6.55,4.08,4264
0.7,Fair,F,VS1,64.5,57,5.65,5.58,3.62,2381
2.01,Very Good,I,VS2,59.6,58,8.18,8.23,4.89,16383
0.67,Very Good,G,VS2,61.7,59.7,5.56,5.61,3.45,2131
1.04,Ideal,F,SI1,61.3,56,6.55,6.5,4,5882
2.07,Ideal,J,VS2,62.2,56,8.2,8.16,5.09,11500
0.71,Premium,D,VS2,59.2,59,5.8,5.86,3.45,3217
1.04,Ideal,F,SI1,61.2,56,6.54,6.6,4.02,5145
1.15,Very Good,I,SI1,62.5,60,6.68,6.72,4.19,4851
0.71,Very Good,E,SI2,62.1,57,5.71,5.76,3.56,2123
1.46,Premium,G,SI2,59.5,59,7.34,7.29,4.35,7931
1.51,Premium,F,SI1,62.2,59,7.34,7.3,4.55,11607
0.72,Ideal,D,SI1,60.8,57,5.76,5.75,3.5,2782
0.78,Very Good,H,SI2,63.1,56,5.84,5.88,3.7,2348
1.54,Premium,J,SI1,61.1,58,7.48,7.41,4.55,5028
0.9,Premium,H,SI2,59.6,59,6.38,6.24,3.76,3105
1.01,Ideal,H,SI1,62.6,55,6.39,6.43,4.01,4749
1.04,Very Good,D,SI2,58.2,59,6.62,6.67,3.87,4252
1.03,Premium,E,SI2,61.8,59,6.47,6.42,3.98,4845
1.5,Good,E,SI2,63,59,7.18,7.24,4.54,8910
0.9,Very Good,I,VS2,62.4,58,6.12,6.16,3.83,3398
0.8,Premium,H,SI1,62.5,59,5.96,5.91,3.71,2553
0.7,Ideal,D,VS1,62.8,53.4,5.64,5.68,3.55,3618
0.7,Ideal,G,SI1,61.7,55,5.7,5.73,3.53,2965
0.83,Premium,E,VS2,61.3,59,6.08,6.02,3.71,3625
1.11,Very Good,D,SI1,61.6,57,6.66,6.59,4.08,5915
0.73,Premium,H,SI2,62.5,58,5.73,5.69,3.57,2234
0.8,Very Good,I,VS2,63.3,55,5.88,5.93,3.74,2414
0.7,Very Good,F,VS2,62.9,57,5.59,5.63,3.53,2473
0.72,Ideal,G,VS2,61,55,5.81,5.83,3.55,3547
1.72,Premium,G,VS2,61.1,58,7.69,7.73,4.71,15801
1.02,Premium,D,SI2,61.5,58,6.51,6.33,3.95,4381
0.78,Good,E,SI2,64,57,5.84,5.81,3.73,2379
1.01,Premium,F,SI1,62.6,58,6.37,6.32,3.97,5202
1.27,Ideal,F,VS2,61,54,7,7.02,4.28,10656
1.12,Premium,F,VS1,61.8,59,6.75,6.65,4.14,7903
1,Premium,F,SI1,61.4,60,6.38,6.35,3.91,4586
0.76,Very Good,F,SI2,62.7,55,5.74,5.83,3.63,2469
1.13,Ideal,H,I1,61.1,56,6.77,6.71,4.12,3669
1.01,Ideal,J,SI2,59,59,6.57,6.61,3.89,3982
0.8,Very Good,E,VVS2,62.9,59,5.88,5.95,3.72,4304
2.01,Premium,I,SI2,62,56,8.01,7.87,4.92,12338
1.17,Very Good,G,SI1,63.3,61,6.65,6.59,4.19,5025
1.53,Ideal,E,SI2,61,55,7.44,7.5,4.55,10698
0.7,Very Good,H,VS1,60.1,61,5.74,5.81,3.47,2400
0.79,Ideal,E,SI1,62,57,5.92,5.96,3.68,3384
1.14,Premium,H,SI2,62.2,61,6.72,6.64,4.16,3830
0.9,Good,F,SI1,64.2,56,6.02,6.1,3.89,4232
0.75,Premium,E,SI1,61.1,59,5.86,5.83,3.57,2814
1.11,Premium,H,SI1,58.9,59,6.82,6.76,4,4748
0.81,Premium,F,SI1,60.3,59,5.98,6.05,3.63,3097
1.01,Ideal,D,VVS2,62.3,53,6.4,6.47,4.02,11082
1.31,Ideal,F,SI2,62.7,57,7.05,6.98,4.4,6676
1.16,Ideal,I,SI1,62.6,57,6.71,6.67,4.19,5091
1.32,Very Good,F,VVS2,61.6,61,6.97,7.02,4.31,12736
1,Ideal,E,VS2,61.5,55,6.47,6.44,3.97,6989
0.5,Very Good,E,VVS2,62,55,5.08,5.11,3.16,2105
1.51,Ideal,G,SI1,61.6,56,7.34,7.25,4.5,8283
1.75,Premium,E,SI2,62.5,59,7.71,7.63,4.79,11655
1.03,Premium,I,SI1,62,58,6.46,6.41,3.99,3749
0.87,Premium,D,SI1,62.1,58,6.08,6.13,3.79,4189
1.43,Ideal,J,SI1,60.5,58,7.25,7.34,4.41,6789
1.51,Good,H,VS2,64.2,58.5,7.16,7.22,4.62,10763
1.01,Premium,G,VVS2,61.4,58,6.46,6.51,3.98,6843
1.03,Ideal,H,VVS2,62.4,53,6.45,6.51,4.05,6560
0.93,Ideal,E,SI2,62.1,55,6.27,6.29,3.9,3990
1.52,Ideal,I,SI1,61.2,55.4,7.38,7.45,4.54,9067
1.51,Premium,G,SI1,62.6,58,7.27,7.3,4.56,11153
0.72,Very Good,G,VS2,63.7,56.4,5.62,5.69,3.61,2776
1.75,Ideal,J,VS2,62.1,56,7.74,7.69,4.79,9890
0.78,Ideal,F,SI2,59.7,57,6.01,5.98,3.58,2431
1.82,Premium,H,VS2,61.6,60,7.78,7.74,4.78,14749
0.7,Ideal,H,SI1,62.6,55,5.65,5.7,3.55,2294
0.6,Ideal,D,VVS1,61.6,56,5.41,5.43,3.34,3570
0.7,Good,E,VS1,58.7,60,5.79,5.83,3.41,3148
0.77,Ideal,G,VS2,61.8,54,5.91,5.94,3.66,3300
2,Good,G,SI2,58.1,64,8.3,8.27,4.81,11041
0.73,Premium,F,SI2,60.5,57,5.84,5.8,3.52,2351
1.24,Premium,E,SI2,60.5,62,6.97,6.89,4.19,4666
1.01,Ideal,J,SI2,61.9,55.3,6.43,6.5,4.01,4099
1.01,Premium,G,VS1,62.6,59,6.43,6.38,4.01,6618
0.71,Very Good,D,SI1,63.3,59,5.55,5.66,3.55,2525
1.01,Premium,F,SI2,60,60,6.46,6.4,3.86,3717
1,Premium,F,SI1,61.6,60,6.31,6.41,3.9,5197
1,Fair,G,SI1,63.1,59,6.32,6.27,3.97,4163
2.11,Fair,G,SI2,65,56,8.06,8.01,5.22,12633
0.73,Very Good,E,VS2,63.1,55,5.77,5.71,3.62,3066
2.01,Very Good,H,SI1,61.5,60,8.09,8.01,4.95,17003
1.15,Ideal,H,I1,62,55,6.76,6.69,4.17,3606
1,Very Good,E,SI1,63.3,57,6.3,6.36,4.01,5051
1.24,Very Good,G,VS2,59.1,59,7.02,7.08,4.17,8064
0.53,Ideal,D,VVS1,62,57,5.16,5.2,3.21,2732
0.9,Very Good,I,VS2,58.4,62,6.29,6.35,3.69,3334
1.2,Premium,H,VS2,62.4,57,6.73,6.67,4.18,6048
0.7,Premium,G,SI1,61.6,58,5.71,5.65,3.5,2285
0.7,Premium,E,SI1,61,58,5.78,5.72,3.51,2777
1.51,Fair,F,I1,67.5,56,7.17,7.05,4.8,3734
1.51,Ideal,G,VVS2,62.1,58,7.34,7.31,4.54,15529
1.07,Ideal,E,SI2,62.4,60,6.49,6.52,4.06,5280
0.9,Fair,F,SI1,66,57,6.06,6,3.98,3160
0.7,Fair,G,SI1,64.8,59,5.65,5.56,3.63,2016
1.21,Ideal,E,VS1,62.4,57,6.75,6.83,4.24,10351
1.08,Premium,F,SI2,62.7,58,6.53,6.49,4.08,3992
0.52,Ideal,F,VVS1,59.8,59,5.21,5.25,3.13,2251
1,Fair,F,VS1,65,59,6.19,6.14,4.01,6115
0.91,Premium,F,SI2,62.9,57,6.16,6.11,3.86,3346
1,Good,E,VS2,62.4,58,6.33,6.4,3.97,6248
0.76,Ideal,E,VS2,61.3,56,5.79,5.83,3.56,3079
1.02,Very Good,E,VS1,58.9,59,6.52,6.65,3.88,7253
1.04,Very Good,F,SI1,60.1,62,6.54,6.6,3.95,5290
0.7,Very Good,E,SI1,62.7,55,5.63,5.67,3.54,2575
1.01,Premium,E,VVS2,62.4,58,6.42,6.36,3.99,9711
1.12,Very Good,H,SI2,61.7,59,6.67,6.71,4.13,5375
1.01,Fair,D,SI1,66.9,54,6.25,6.21,4.17,4751
1.02,Premium,F,VS1,62,59,6.41,6.39,3.97,7485
1.67,Ideal,I,VS1,61.6,59,7.64,7.61,4.7,11975
0.72,Ideal,F,SI2,61.2,58,5.72,5.78,3.52,2300
2.08,Very Good,H,SI2,59,59,8.37,8.41,4.95,15696
0.7,Premium,E,SI1,62.4,60,5.72,5.63,3.54,2310
1.01,Premium,J,VS2,62.4,60,6.45,6.35,3.99,3190
1,Ideal,E,I1,63,57,6.35,6.32,3.99,3360
1.11,Ideal,I,VS2,61.7,55,6.66,6.69,4.12,5506
1.01,Fair,H,VS1,67.1,59,6.16,6.09,4.11,3676
0.7,Very Good,G,VS1,60.1,60,5.73,5.76,3.45,3017
1.5,Very Good,G,VS1,59.1,62,7.38,7.42,4.37,11216
0.76,Premium,E,VVS2,60.6,59,5.94,5.85,3.57,3767
2,Premium,F,SI2,61.5,59,8.03,7.95,4.92,11413
1.04,Premium,G,SI1,62.3,57,6.5,6.46,4.04,4467
0.71,Fair,H,SI1,65.1,56,5.63,5.55,3.64,2112
1.12,Ideal,G,VS2,62.2,54,6.65,6.62,4.13,6774
1.61,Ideal,F,VS2,62.1,57,7.49,7.56,4.67,15819
0.55,Ideal,G,VVS2,60.8,56.9,5.27,5.31,3.22,2064
1.2,Ideal,H,VS1,60.9,57,6.87,6.9,4.19,8852
2.01,Very Good,H,SI1,63.5,57,7.96,7.88,5.03,14725
0.71,Premium,F,SI1,60.2,60,5.79,5.71,3.46,2345
0.74,Ideal,G,VVS1,62.1,54,5.8,5.83,3.61,3537
0.93,Very Good,G,VS1,62.1,59,6.16,6.21,3.84,4879
0.71,Ideal,F,VVS2,61.2,55,5.73,5.84,3.54,3705
0.7,Very Good,I,SI1,62.2,55,5.62,5.67,3.51,2147
